Product,200 g,500 g,1 kg,2 kg,5 kg,10 kg,Notes
Lithium hexafluorophosphate (LiPF6),399.95,449.95,529.95,729.95,1089.95,1499.95,
Lithium difluorophosphate (LiPO2F2),419.95,469.95,549.95,769.95,1149.95,1549.95,
Lithium bis(oxalato)borate (LiBOB),419.95,469.95,549.95,769.95,1149.95,1549.95,
Lithium difluoro oxalate borate (LiODFB),399.95,449.95,529.95,729.95,1099.95,1499.95,
Lithium bis(trifluoromethanesulfonyl)imide (LiTFSI),519.95,579.95,649.95,919.95,1399.95,2099.95,
Lithium bis(fluorosulfonyl)imide (LiFSI),399.95,449.95,529.95,729.95,1099.95,1499.95,
Lithium tetrafluoroborate (LiBF4),409.95,469.95,559.95,779.95,1149.95,1549.95,
Ethylene carbonate (EC),,369.95,469.95,669.95,929.95,1249.95,
Dimethyl carbonate (DMC),,369.95,469.95,669.95,929.95,1249.95,
Diethyl carbonate (DEC),,379.95,479.95,679.95,939.95,1269.95,
Ethyl methyl carbonate (EMC),,379.95,479.95,679.95,939.95,1269.95,
Propylene carbonate (PC),,369.95,469.95,669.95,929.95,1249.95,
Ethyl acetate (EA),,389.95,499.95,689.95,959.95,1299.95,
"2,2-Difluoroethyl acetate (DFEA)",369.95,419.95,549.95,779.95,1179.95,1559.95,"CAS 1550-44-3 confirmed as 2,2-Difluoroethyl acetate."
"1,2-Dimethoxyethane (DME)",,379.95,479.95,679.95,949.95,1299.95,
Tetrafluoroethyl tetrafluoropropyl ether (TTE),459.95,499.95,579.95,829.95,1249.95,1649.95,
"Methyl 2,2,2-trifluoroethyl carbonate (FEMC)",519.95,579.95,679.95,949.95,1399.95,1949.95,
"Bis(2,2,2-trifluoroethyl) carbonate (TFEC)",769.95,1189.95,1599.95,1849.95,2299.95,2899.95,
Vinylene carbonate (VC),459.95,499.95,559.95,779.95,1149.95,1599.95,
Vinyl ethylene carbonate (VEC),499.95,549.95,599.95,819.95,1199.95,1649.95,
"1,3,2-Dioxathiolane 2,2-dioxide (DTD)",459.95,499.95,559.95,779.95,1149.95,1599.95,
"Prop-1-ene-1,3-sultone (PST)",559.95,619.95,679.95,899.95,1349.95,1849.95,
"4-Fluoro-1,3-dioxolan-2-one (FEC)",,419.95,489.95,689.95,999.95,1359.95,
Succinonitrile (SN),419.95,449.95,499.95,689.95,999.95,1359.95,
Adiponitrile (ADN),419.95,449.95,499.95,689.95,999.95,1359.95,
"1,2-Bis(2-cyanoethoxy)ethane (DENE)",459.95,499.95,559.95,779.95,1149.95,1499.95,
"1,3,6-Hexanetricarbonitrile (HTCN)",479.95,529.95,589.95,819.95,1199.95,1649.95,
"1,5,2,4-Dioxadithiane-2,2,4,4-tetraoxide (MMDS)",459.95,499.95,539.95,749.95,1099.95,1499.95,
Tris(trimethylsilyl)borate (TMSB),459.95,499.95,559.95,779.95,1149.95,1549.95,
Tris(trimethylsilyl)phosphate (TMSP),459.95,499.95,539.95,749.95,1099.95,1499.95,
"1,3-Propanesultone (PS)",459.95,499.95,539.95,749.95,1099.95,1499.95,
Sodium hexafluorophosphate (NaPF6),399.95,569.95,799.95,949.95,1099.95,1499.95,
Sodium difluoro(oxalato)borate (NaDFOB),459.95,649.95,899.95,1199.95,1699.95,2199.95,
Potassium hexafluorophosphate (KPF6),419.95,599.95,799.95,999.95,1299.95,1699.95,
Ethyl propionate (EP),,379.95,479.95,679.95,949.95,1299.95,
Propyl propionate (PP),,379.95,479.95,679.95,949.95,1299.95,
Triphenyl phosphite (TPPI),419.95,449.95,499.95,689.95,999.95,1359.95,
Biphenyl (BP),419.95,449.95,499.95,689.95,999.95,1359.95,
Propyl acetate (PA),,389.95,499.95,689.95,969.95,1329.95,
Ethylene sulfite (ES),419.95,449.95,499.95,689.95,999.95,1359.95,
Hexamethyldisilazane (HMDS),419.95,449.95,499.95,689.95,999.95,1359.95,
Fluorobenzene (FB),379.95,539.95,759.95,869.95,1029.95,1399.95,
Sodium bis(fluorosulfonyl)imide (NaFSI),399.95,569.95,799.95,949.95,1099.95,1499.95,
Cyclohexylbenzene (CHB),459.95,499.95,539.95,749.95,1099.95,1499.95,
"1,4-Butane sultone (BS)",459.95,499.95,559.95,779.95,1149.95,1599.95,
Sodium difluorophosphate (NaPO2F2),499.95,699.95,899.95,1199.95,1599.95,2099.95,
"1,3-Dioxolane (DOL)",,439.95,499.95,699.95,949.95,1299.95,
Triallyl phosphate (TAP),619.95,679.95,749.95,999.95,1599.95,2499.95,
Lithium nitrate (LiNO3),579.95,699.95,899.95,1199.95,2299.95,3699.95,
Lithium difluorobis(oxalato)phosphate (LiDFBOP),599.95,749.95,999.95,1299.95,2499.95,3999.95,
Tetravinylsilane (TVSi),799.95,999.95,1399.95,1799.95,3299.95,5799.95,
1 M LiPF6 in EC:EMC (3:7) + 1% VC Electrolyte,,489.95,649.95,799.95,1149.95,1499.95,Default package: 500 g. Finished-formulation cost source remains separate from supplier workbook.
